match,date,name,venue,city,country,hometeam,awayteam,homegoal,awaygoal,status,update time 
1,2022-11-20 11:00,Qatar vs Ecuador,Al Bayt Stadium,Al Khor,Qatar,Qatar,Ecuador,0,2,FULL_TIME,2022-12-18 12:04:38
3,2022-11-21 08:00,England vs IR Iran,Khalifa International Stadium,Al Rayyan,Qatar,England,IR Iran,6,2,FULL_TIME,2022-12-18 12:04:38
2,2022-11-21 11:00,Senegal vs Netherlands,Al Thumama Stadium,Doha,Qatar,Senegal,Netherlands,0,2,FULL_TIME,2022-12-18 12:04:38
4,2022-11-21 14:00,United States vs Wales,Ahmad bin Ali Stadium,Al Rayyan,Qatar,United States,Wales,1,1,FULL_TIME,2022-12-18 12:04:38
8,2022-11-22 05:00,Argentina vs Saudi Arabia,Lusail Iconic Stadium,Lusail,Qatar,Argentina,Saudi Arabia,1,2,FULL_TIME,2022-12-18 12:04:38
6,2022-11-22 08:00,Denmark vs Tunisia,Education City Stadium,Al Rayyan,Qatar,Denmark,Tunisia,0,0,FULL_TIME,2022-12-18 12:04:38
7,2022-11-22 11:00,Mexico vs Poland,Stadium 974,Doha,Qatar,Mexico,Poland,0,0,FULL_TIME,2022-12-18 12:04:38
5,2022-11-22 14:00,France vs Australia,Al Janoub Stadium,Al Wkrah,Qatar,France,Australia,4,1,FULL_TIME,2022-12-18 12:04:38
12,2022-11-23 05:00,Morocco vs Croatia,Al Bayt Stadium,Al Khor,Qatar,Morocco,Croatia,0,0,FULL_TIME,2022-12-18 12:04:38
11,2022-11-23 08:00,Germany vs Japan,Khalifa International Stadium,Al Rayyan,Qatar,Germany,Japan,1,2,FULL_TIME,2022-12-18 12:04:38
10,2022-11-23 11:00,Spain vs Costa Rica,Al Thumama Stadium,Doha,Qatar,Spain,Costa Rica,7,0,FULL_TIME,2022-12-18 12:04:38
9,2022-11-23 14:00,Belgium vs Canada,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Belgium,Canada,1,0,FULL_TIME,2022-12-18 12:04:38
13,2022-11-24 05:00,Switzerland vs Cameroon,Al Janoub Stadium,Al Wkrah,Qatar,Switzerland,Cameroon,1,0,FULL_TIME,2022-12-18 12:04:38
14,2022-11-24 08:00,Uruguay vs South Korea,Education City Stadium,Al Rayyan,Qatar,Uruguay,South Korea,0,0,FULL_TIME,2022-12-18 12:04:38
15,2022-11-24 11:00,Portugal vs Ghana,Stadium 974,Doha,Qatar,Portugal,Ghana,3,2,FULL_TIME,2022-12-18 12:04:38
16,2022-11-24 14:00,Brazil vs Serbia,Lusail Iconic Stadium,Lusail,Qatar,Brazil,Serbia,2,0,FULL_TIME,2022-12-18 12:04:38
17,2022-11-25 05:00,Wales vs IR Iran,Ahmad bin Ali Stadium,Al Rayyan,Qatar,Wales,IR Iran,0,2,FULL_TIME,2022-12-18 12:04:38
18,2022-11-25 08:00,Qatar vs Senegal,Al Thumama Stadium,Doha,Qatar,Qatar,Senegal,1,3,FULL_TIME,2022-12-18 12:04:38
19,2022-11-25 11:00,Netherlands vs Ecuador,Khalifa International Stadium,Al Rayyan,Qatar,Netherlands,Ecuador,1,1,FULL_TIME,2022-12-18 12:04:38
20,2022-11-25 14:00,England vs United States,Al Bayt Stadium,Al Khor,Qatar,England,United States,0,0,FULL_TIME,2022-12-18 12:04:38
21,2022-11-26 05:00,Tunisia vs Australia,Al Janoub Stadium,Al Wkrah,Qatar,Tunisia,Australia,0,1,FULL_TIME,2022-12-18 12:04:38
22,2022-11-26 08:00,Poland vs Saudi Arabia,Education City Stadium,Al Rayyan,Qatar,Poland,Saudi Arabia,2,0,FULL_TIME,2022-12-18 12:04:38
